threshold,cost,f1
0.05,1924347.0,0.2777
0.06,1924347.0,0.2777
0.07,1924347.0,0.2777
0.08,1921226.0,0.278
0.09,1916544.0,0.2785
0.1,1902498.0,0.28
0.11,1871284.0,0.2833
0.12,1846312.0,0.2861
0.13,1797930.0,0.2915
0.14,1749549.0,0.2972
0.15,1662149.0,0.308
0.16,1580993.0,0.3188
0.17,1509200.0,0.3289
0.18,1448333.0,0.3381
0.19,1385905.0,0.348
0.2,1328159.0,0.3577
0.21,1267291.0,0.3686
0.22,1225152.0,0.3828
0.23,1228274.0,0.3956
0.24,1193938.0,0.4106
0.25,1245441.0,0.422
0.26,1335962.0,0.433
0.27,1289141.0,0.4458
0.28,1310991.0,0.459
0.29,1367176.0,0.4732
0.3,1412437.0,0.4927
0.31,1585675.0,0.5048
0.32,1824462.0,0.5055
0.33,2128800.0,0.5078
0.34,2337934.0,0.5067
0.35,2419090.0,0.5166
0.36,2579843.0,0.5222
0.37,2824873.0,0.5208
0.38,2946608.0,0.5294
0.39,2998111.0,0.5391
0.4,3080829.0,0.5515
0.41,3215049.0,0.5548
0.42,3357073.0,0.5534
0.43,3414819.0,0.5612
0.44,3550600.0,0.564
0.45,3691064.0,0.5638
0.46,3951701.0,0.5529
0.47,4168639.0,0.5477
0.48,4387138.0,0.5409
0.49,4654018.0,0.5236
0.5,4760146.0,0.5219
0.51,4938066.0,0.5182
0.52,5151882.0,0.5131
0.53,5187778.0,0.512
0.54,5215871.0,0.5171
0.55,5325120.0,0.5124
0.56,5429688.0,0.5115
0.57,5574833.0,0.5053
0.58,5640382.0,0.5081
0.59,5755875.0,0.4973
0.6,5868245.0,0.4889
0.61,5902581.0,0.4888
0.62,6052408.0,0.477
0.63,6280271.0,0.4556
0.64,6428538.0,0.4438
0.65,6542469.0,0.4321
0.66,6929524.0,0.3846
0.67,7043455.0,0.3713
0.68,7158947.0,0.3564
0.69,7428949.0,0.3197
0.7,7542880.0,0.3045
0.71,7656811.0,0.2887
0.72,7809760.0,0.2662
0.73,7809760.0,0.2662
0.74,7845657.0,0.2618
0.75,8000166.0,0.237
0.76,8078201.0,0.2239
0.77,8156237.0,0.2105
0.78,8273289.0,0.1901
0.79,8351324.0,0.1762
0.8,8468377.0,0.155
0.81,8546412.0,0.1406
0.82,8624448.0,0.126
0.83,8661904.0,0.119
0.84,8856992.0,0.081
0.85,9013063.0,0.0494
0.86,9130116.0,0.025
0.87,9130116.0,0.025
0.88,9208151.0,0.0084
0.89,9247168.0,0.0
0.9,9247168.0,0.0
0.91,9247168.0,0.0
0.92,9247168.0,0.0
0.93,9247168.0,0.0
0.94,9247168.0,0.0
